occupation_code	occupation_name	display_level	selectable	sort_sequence
395000	Personal Appearance Workers	1	T	593	
395010	Barbers, Hairdressers, Hairstylists and Cosmetologists	2	T	594	
395011	Barbers	3	T	595	
395012	Hairdressers, Hairstylists, and Cosmetologists	3	T	596	
395090	Miscellaneous Personal Appearance Workers	2	T	597	
395091	Makeup Artists, Theatrical and Performance	3	T	598	
395092	Manicurists and Pedicurists	3	T	599	
395093	Shampooers	3	T	600	
395094	Skincare Specialists	3	T	601	
396010	Baggage Porters, Bellhops, and Concierges	2	T	602	
396011	Baggage Porters and Bellhops	3	T	603	
396012	Concierges	3	T	604	
397010	Tour and Travel Guides	2	T	605	
397011	Tour Guides and Escorts	3	T	606	
397012	Travel Guides	3	T	607	
399000	Other Personal Care and Service Workers	1	T	608	
399011	Childcare Workers	3	T	609	
399021	Personal Care Aides	3	T	610	
399030	Recreation and Fitness Workers	2	T	611	
399031	Fitness Trainers and Aerobics Instructors	3	T	612	
399032	Recreation Workers	3	T	613	
399041	Residential Advisors	3	T	614	
399099	Personal Care and Service Workers, All Other	3	T	615	
410000	Sales and Related Occupations	0	T	616	
411010	First-Line Supervisors of Sales Workers	2	T	617	
411011	First-Line Supervisors of Retail Sales Workers	3	T	618	
411012	First-Line Supervisors of Non-Retail Sales Workers	3	T	619	
412000	Retail Sales Workers	1	T	620	
412010	Cashiers	2	T	621	
412011	Cashiers	3	T	622	
412012	Gaming Change Persons and Booth Cashiers	3	T	623	
412020	Counter and Rental Clerks and Parts Salespersons	2	T	624	
412021	Counter and Rental Clerks	3	T	625	
412022	Parts Salespersons	3	T	626	
412031	Retail Salespersons	3	T	627	
413000	Sales Representatives, Services	1	T	628	
413011	Advertising Sales Agents	3	T	629	
413021	Insurance Sales Agents	3	T	630	
413031	Securities, Commodities, and Financial Services Sales Agents	3	T	631	
413041	Travel Agents	3	T	632	
413099	Sales Representatives, Services, All Other	3	T	633	
414010	Sales Representatives, Wholesale and Manufacturing	2	T	634	
414011	Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products	3	T	635	
414012	Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products	3	T	636	
419000	Other Sales and Related Workers	1	T	637	
419010	Models, Demonstrators, and Product Promoters	2	T	638	
419011	Demonstrators and Product Promoters	3	T	639	
419012	Models	3	T	640	
419020	Real Estate Brokers and Sales Agents	2	T	641	
419021	Real Estate Brokers	3	T	642	
419022	Real Estate Sales Agents	3	T	643	
419031	Sales Engineers	3	T	644	
419041	Telemarketers	3	T	645	
419090	Miscellaneous Sales and Related Workers	2	T	646	
419091	Door-to-Door Sales Workers, News and Street Vendors, and Related Workers	3	T	647	
419099	Sales and Related Workers, All Other	3	T	648	
430000	Office and Administrative Support Occupations	0	T	649	
431011	First-Line Supervisors of Office and Administrative Support Workers	3	T	650	
432000	Communications Equipment Operators	1	T	651	
432011	Switchboard Operators, Including Answering Service	3	T	652	
432021	Telephone Operators	3	T	653	
432099	Communications Equipment Operators, All Other	3	T	654	
433000	Financial Clerks	1	T	655	
433011	Bill and Account Collectors	3	T	656	
433021	Billing and Posting Clerks	3	T	657	
433031	Bookkeeping, Accounting, and Auditing Clerks	3	T	658	
433041	Gaming Cage Workers	3	T	659	
433051	Payroll and Timekeeping Clerks	3	T	660	
433061	Procurement Clerks	3	T	661	
433071	Tellers	3	T	662	
433099	Financial Clerks, All Other	3	T	663	
434000	Information and Record Clerks	1	T	664	
434011	Brokerage Clerks	3	T	665	
434021	Correspondence Clerks	3	T	666	
434031	Court, Municipal, and License Clerks	3	T	667	
434041	Credit Authorizers, Checkers, and Clerks	3	T	668	
434051	Customer Service Representatives	3	T	669	
434061	Eligibility Interviewers, Government Programs	3	T	670	
434071	File Clerks	3	T	671	
434081	Hotel, Motel, and Resort Desk Clerks	3	T	672	
434111	Interviewers, Except Eligibility and Loan	3	T	673	
434121	Library Assistants, Clerical	3	T	674	
434131	Loan Interviewers and Clerks	3	T	675	
434141	New Accounts Clerks	3	T	676	
434151	Order Clerks	3	T	677	
434161	Human Resources Assistants, Except Payroll and Timekeeping	3	T	678	
434171	Receptionists and Information Clerks	3	T	679	
434181	Reservation and Transportation Ticket Agents and Travel Clerks	3	T	680	
434199	Information and Record Clerks, All Other	3	T	681	
435000	Material Recording, Scheduling, Dispatching, and Distributing Workers	1	T	682	
435011	Cargo and Freight Agents	3	T	683	
435021	Couriers and Messengers	3	T	684	
435030	Dispatchers	2	T	685	
435031	Police, Fire, and Ambulance Dispatchers	3	T	686	
435032	Dispatchers, Except Police, Fire, and Ambulance	3	T	687	
435041	Meter Readers, Utilities	3	T	688	
435050	Postal Service Workers	2	T	689	
435051	Postal Service Clerks	3	T	690	
435052	Postal Service Mail Carriers	3	T	691	
435053	Postal Service Mail Sorters, Processors, and Processing Machine Operators	3	T	692	
435061	Production, Planning, and Expediting Clerks	3	T	693	
435071	Shipping, Receiving, and Traffic Clerks	3	T	694	
435081	Stock Clerks and Order Fillers	3	T	695	
435111	Weighers, Measurers, Checkers, and Samplers, Recordkeeping	3	T	696	
436010	Secretaries and Administrative Assistants	2	T	697	
436011	Executive Secretaries and Executive Administrative Assistants	3	T	698	
436012	Legal Secretaries	3	T	699	
436013	Medical Secretaries	3	T	700	
436014	Secretaries and Administrative Assistants, Except Legal, Medical, and Executive	3	T	701	
439000	Other Office and Administrative Support Workers	1	T	702	
439011	Computer Operators	3	T	703	
439020	Data Entry and Information Processing Workers	2	T	704	
439021	Data Entry Keyers	3	T	705	
439022	Word Processors and Typists	3	T	706	
439031	Desktop Publishers	3	T	707	
439041	Insurance Claims and Policy Processing Clerks	3	T	708	
439051	Mail Clerks and Mail Machine Operators, Except Postal Service	3	T	709	
439061	Office Clerks, General	3	T	710	
439071	Office Machine Operators, Except Computer	3	T	711	
439081	Proofreaders and Copy Markers	3	T	712	
439111	Statistical Assistants	3	T	713	
439199	Office and Administrative Support Workers, All Other	3	T	714	
450000	Farming, Fishing, and Forestry Occupations	0	T	715	
451011	First-Line Supervisors of Farming, Fishing, and Forestry Workers	3	T	716	
452000	Agricultural Workers	1	T	717	
452011	Agricultural Inspectors	3	T	718	
452021	Animal Breeders	3	T	719	
452041	Graders and Sorters, Agricultural Products	3	T	720	
452090	Miscellaneous Agricultural Workers	2	T	721	
452091	Agricultural Equipment Operators	3	T	722	
452092	Farmworkers and Laborers, Crop, Nursery, and Greenhouse	3	T	723	
452093	Farmworkers, Farm, Ranch, and Aquacultural Animals	3	T	724	
452099	Agricultural Workers, All Other	3	T	725	
453000	Fishing and Hunting Workers	1	T	726	
453011	Fishers and Related Fishing Workers	3	T	727	
454000	Forest, Conservation, and Logging Workers	1	T	728	
454011	Forest and Conservation Workers	3	T	729	
454020	Logging Workers	2	T	730	
454021	Fallers	3	T	731	
454022	Logging Equipment Operators	3	T	732	
454023	Log Graders and Scalers	3	T	733	
454029	Logging Workers, All Other	3	T	734	
470000	Construction and Extraction Occupations	0	T	735	
471011	First-Line Supervisors of Construction Trades and Extraction Workers	3	T	736	
472000	Construction Trades Workers	1	T	737	
472011	Boilermakers	3	T	738	
472020	Brickmasons, Blockmasons, and Stonemasons	2	T	739	
472021	Brickmasons and Blockmasons	3	T	740	
472022	Stonemasons	3	T	741	
472031	Carpenters	3	T	742	
472040	Carpet, Floor, and Tile Installers and Finishers	2	T	743	
472041	Carpet Installers	3	T	744	
472042	Floor Layers, Except Carpet, Wood, and Hard Tiles	3	T	745	
472043	Floor Sanders and Finishers	3	T	746	
472044	Tile and Marble Setters	3	T	747	
472050	Cement Masons, Concrete Finishers, and Terrazzo Workers	2	T	748	
472051	Cement Masons and Concrete Finishers	3	T	749	
472053	Terrazzo Workers and Finishers	3	T	750	
472061	Construction Laborers	3	T	751	
472070	Construction Equipment Operators	2	T	752	
472071	Paving, Surfacing, and Tamping Equipment Operators	3	T	753	
472072	Pile-Driver Operators	3	T	754	
472073	Operating Engineers and Other Construction Equipment Operators	3	T	755	
472080	Drywall Installers, Ceiling Tile Installers, and Tapers	2	T	756	
472081	Drywall and Ceiling Tile Installers	3	T	757	
472082	Tapers	3	T	758	
472111	Electricians	3	T	759	
472121	Glaziers	3	T	760	
472130	Insulation Workers	2	T	761	
472131	Insulation Workers, Floor, Ceiling, and Wall	3	T	762	
472132	Insulation Workers, Mechanical	3	T	763	
472140	Painters and Paperhangers	2	T	764	
472141	Painters, Construction and Maintenance	3	T	765	
472142	Paperhangers	3	T	766	
472150	Pipelayers, Plumbers, Pipefitters, and Steamfitters	2	T	767	
472151	Pipelayers	3	T	768	
472152	Plumbers, Pipefitters, and Steamfitters	3	T	769	
472161	Plasterers and Stucco Masons	3	T	770	
472171	Reinforcing Iron and Rebar Workers	3	T	771	
472181	Roofers	3	T	772	
472211	Sheet Metal Workers	3	T	773	
472221	Structural Iron and Steel Workers	3	T	774	
472231	Solar Photovoltaic Installers	3	T	775	
473010	Helpers, Construction Trades	2	T	776	
473011	Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters	3	T	777	
473012	Helpers--Carpenters	3	T	778	
473013	Helpers--Electricians	3	T	779	
473014	Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons	3	T	780	
473015	Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters	3	T	781	
473016	Helpers--Roofers	3	T	782	
473019	Helpers, Construction Trades, All Other	3	T	783	
474000	Other Construction and Related Workers	1	T	784	
474011	Construction and Building Inspectors	3	T	785	
474021	Elevator Installers and Repairers	3	T	786	
474031	Fence Erectors	3	T	787	
474041	Hazardous Materials Removal Workers	3	T	788	
474051	Highway Maintenance Workers	3	T	789	
474061	Rail-Track Laying and Maintenance Equipment Operators	3	T	790	
474071	Septic Tank Servicers and Sewer Pipe Cleaners	3	T	791	
474090	Miscellaneous Construction and Related Workers	2	T	792	
474091	Segmental Pavers	3	T	793	
474099	Construction and Related Workers, All Other	3	T	794	
475000	Extraction Workers	1	T	795	
475010	Derrick, Rotary Drill, and Service Unit Operators, Oil, Gas, and Mining	2	T	796	
475011	Derrick Operators, Oil and Gas	3	T	797	
475012	Rotary Drill Operators, Oil and Gas	3	T	798	
475013	Service Unit Operators, Oil, Gas, and Mining	3	T	799	
475021	Earth Drillers, Except Oil and Gas	3	T	800	
475031	Explosives Workers, Ordnance Handling Experts, and Blasters	3	T	801	
475040	Mining Machine Operators	2	T	802	
475041	Continuous Mining Machine Operators	3	T	803	
475042	Mine Cutting and Channeling Machine Operators	3	T	804	
475049	Mining Machine Operators, All Other	3	T	805	
475051	Rock Splitters, Quarry	3	T	806	
475061	Roof Bolters, Mining	3	T	807	
475071	Roustabouts, Oil and Gas	3	T	808	
475081	Helpers--Extraction Workers	3	T	809	
475099	Extraction Workers, All Other	3	T	810	
490000	Installation, Maintenance, and Repair Occupations	0	T	811	
491011	First-Line Supervisors of Mechanics, Installers, and Repairers	3	T	812	
492000	Electrical and Electronic Equipment Mechanics, Installers, and Repairers	1	T	813	
492011	Computer, Automated Teller, and Office Machine Repairers	3	T	814	
492020	Radio and Telecommunications Equipment Installers and Repairers	2	T	815	
492021	Radio, Cellular, and Tower Equipment Installers and Repairers	3	T	816	
492022	Telecommunications Equipment Installers and Repairers, Except Line Installers	3	T	817	
492090	Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers	2	T	818	
492091	Avionics Technicians	3	T	819	
492092	Electric Motor, Power Tool, and Related Repairers	3	T	820	
492093	Electrical and Electronics Installers and Repairers, Transportation Equipment	3	T	821	
492094	Electrical and Electronics Repairers, Commercial and Industrial Equipment	3	T	822	
492095	Electrical and Electronics Repairers, Powerhouse, Substation, and Relay	3	T	823	
492096	Electronic Equipment Installers and Repairers, Motor Vehicles	3	T	824	
492097	Electronic Home Entertainment Equipment Installers and Repairers	3	T	825	
492098	Security and Fire Alarm Systems Installers	3	T	826	
493000	Vehicle and Mobile Equipment Mechanics, Installers, and Repairers	1	T	827	
493011	Aircraft Mechanics and Service Technicians	3	T	828	
493020	Automotive Technicians and Repairers	2	T	829	
493021	Automotive Body and Related Repairers	3	T	830	
493022	Automotive Glass Installers and Repairers	3	T	831	
493023	Automotive Service Technicians and Mechanics	3	T	832	
493031	Bus and Truck Mechanics and Diesel Engine Specialists	3	T	833	
493040	Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics	2	T	834	
493041	Farm Equipment Mechanics and Service Technicians	3	T	835	
493042	Mobile Heavy Equipment Mechanics, Except Engines	3	T	836	
493043	Rail Car Repairers	3	T	837	
493050	Small Engine Mechanics	2	T	838	
493051	Motorboat Mechanics and Service Technicians	3	T	839	
493052	Motorcycle Mechanics	3	T	840	
493053	Outdoor Power Equipment and Other Small Engine Mechanics	3	T	841	
493090	Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers	2	T	842	
493091	Bicycle Repairers	3	T	843	
493092	Recreational Vehicle Service Technicians	3	T	844	
493093	Tire Repairers and Changers	3	T	845	
499000	Other Installation, Maintenance, and Repair Occupations	1	T	846	
499010	Control and Valve Installers and Repairers	2	T	847	
499011	Mechanical Door Repairers	3	T	848	
499012	Control and Valve Installers and Repairers, Except Mechanical Door	3	T	849	
499021	Heating, Air Conditioning, and Refrigeration Mechanics and Installers	3	T	850	
499031	Home Appliance Repairers	3	T	851	
499040	Industrial Machinery Installation, Repair, and Maintenance Workers	2	T	852	
499041	Industrial Machinery Mechanics	3	T	853	
499043	Maintenance Workers, Machinery	3	T	854	
499044	Millwrights	3	T	855	
499045	Refractory Materials Repairers, Except Brickmasons	3	T	856	
499050	Line Installers and Repairers	2	T	857	
499051	Electrical Power-Line Installers and Repairers	3	T	858	
499052	Telecommunications Line Installers and Repairers	3	T	859	
499060	Precision Instrument and Equipment Repairers	2	T	860	
499061	Camera and Photographic Equipment Repairers	3	T	861	
499062	Medical Equipment Repairers	3	T	862	
499063	Musical Instrument Repairers and Tuners	3	T	863	
499064	Watch Repairers	3	T	864	
499069	Precision Instrument and Equipment Repairers, All Other	3	T	865	
499071	Maintenance and Repair Workers, General	3	T	866	
499081	Wind Turbine Service Technicians	3	T	867	
499090	Miscellaneous Installation, Maintenance, and Repair Workers	2	T	868	
499091	Coin, Vending, and Amusement Machine Servicers and Repairers	3	T	869	
499092	Commercial Divers	3	T	870	
499093	Fabric Menders, Except Garment	3	T	871	
499094	Locksmiths and Safe Repairers	3	T	872	
499095	Manufactured Building and Mobile Home Installers	3	T	873	
499096	Riggers	3	T	874	
499097	Signal and Track Switch Repairers	3	T	875	
499098	Helpers--Installation, Maintenance, and Repair Workers	3	T	876	
499099	Installation, Maintenance, and Repair Workers, All Other	3	T	877	
510000	Production Occupations	0	T	878	
511011	First-Line Supervisors of Production and Operating Workers	3	T	879	
512000	Assemblers and Fabricators	1	T	880	
512011	Aircraft Structure, Surfaces, Rigging, and Systems Assemblers	3	T	881	
512020	Electrical, Electronics, and Electromechanical Assemblers	2	T	882	
512021	Coil Winders, Tapers, and Finishers	3	T	883	
512022	Electrical and Electronic Equipment Assemblers	3	T	884	
512023	Electromechanical Equipment Assemblers	3	T	885	
512031	Engine and Other Machine Assemblers	3	T	886	
512041	Structural Metal Fabricators and Fitters	3	T	887	
512090	Miscellaneous Assemblers and Fabricators	2	T	888	
512091	Fiberglass Laminators and Fabricators	3	T	889	
512092	Team Assemblers	3	T	890	
512093	Timing Device Assemblers and Adjusters	3	T	891	
512099	Assemblers and Fabricators, All Other	3	T	892	
513000	Food Processing Workers	1	T	893	
513011	Bakers	3	T	894	
513020	Butchers and Other Meat, Poultry, and Fish Processing Workers	2	T	895	
513021	Butchers and Meat Cutters	3	T	896	
513022	Meat, Poultry, and Fish Cutters and Trimmers	3	T	897	
513023	Slaughterers and Meat Packers	3	T	898	
513090	Miscellaneous Food Processing Workers	2	T	899	
513091	Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders	3	T	900	
513092	Food Batchmakers	3	T	901	
513093	Food Cooking Machine Operators and Tenders	3	T	902	
513099	Food Processing Workers, All Other	3	T	903	
514000	Metal Workers and Plastic Workers	1	T	904	
514010	Computer Control Programmers and Operators	2	T	905	
514011	Computer-Controlled Machine Tool Operators, Metal and Plastic	3	T	906	
514012	Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic	3	T	907	
514020	Forming Machine Setters, Operators, and Tenders, Metal and Plastic	2	T	908	
514021	Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic	3	T	909	
514022	Forging Machine Setters, Operators, and Tenders, Metal and Plastic	3	T	910	
514023	Rolling Machine Setters, Operators, and Tenders, Metal and Plastic	3	T	911	
514030	Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic	2	T	912	
514031	Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic	3	T	913	
514032	Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic	3	T	914	
514033	Grinding/Lapping/Polishing/Buffing Machine Tool Setters, Operators, and Tenders, Metal and Pla	3	T	915	
514034	Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic	3	T	916	
514035	Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic	3	T	917	
514041	Machinists	3	T	918	
514050	Metal Furnace Operators, Tenders, Pourers, and Casters	2	T	919	
514051	Metal-Refining Furnace Operators and Tenders	3	T	920	
514052	Pourers and Casters, Metal	3	T	921	
514060	Model Makers and Patternmakers, Metal and Plastic	2	T	922	
514061	Model Makers, Metal and Plastic	3	T	923	
514062	Patternmakers, Metal and Plastic	3	T	924	
514070	Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic	2	T	925	
514071	Foundry Mold and Coremakers	3	T	926	
514072	Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic	3	T	927	
514081	Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic	3	T	928	
514111	Tool and Die Makers	3	T	929	
514120	Welding, Soldering, and Brazing Workers	2	T	930	
514121	Welders, Cutters, Solderers, and Brazers	3	T	931	
514122	Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders	3	T	932	
514190	Miscellaneous Metal Workers and Plastic Workers	2	T	933	
514191	Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic	3	T	934	
514192	Layout Workers, Metal and Plastic	3	T	935	
514193	Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic	3	T	936	
514194	Tool Grinders, Filers, and Sharpeners	3	T	937	
514199	Metal Workers and Plastic Workers, All Other	3	T	938	
515110	Printing Workers	2	T	939	
515111	Prepress Technicians and Workers	3	T	940	
515112	Printing Press Operators	3	T	941	
515113	Print Binding and Finishing Workers	3	T	942	
516000	Textile, Apparel, and Furnishings Workers	1	T	943	
516011	Laundry and Dry-Cleaning Workers	3	T	944	
516021	Pressers, Textile, Garment, and Related Materials	3	T	945	
516031	Sewing Machine Operators	3	T	946	
516040	Shoe and Leather Workers	2	T	947	
516041	Shoe and Leather Workers and Repairers	3	T	948	
516042	Shoe Machine Operators and Tenders	3	T	949	
516050	Tailors, Dressmakers, and Sewers	2	T	950	
516051	Sewers, Hand	3	T	951	
516052	Tailors, Dressmakers, and Custom Sewers	3	T	952	
516060	Textile Machine Setters, Operators, and Tenders	2	T	953	
516061	Textile Bleaching and Dyeing Machine Operators and Tenders	3	T	954	
516062	Textile Cutting Machine Setters, Operators, and Tenders	3	T	955	
516063	Textile Knitting and Weaving Machine Setters, Operators, and Tenders	3	T	956	
516064	Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders	3	T	957	
516090	Miscellaneous Textile, Apparel, and Furnishings Workers	2	T	958	
516091	Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers	3	T	959	
516092	Fabric and Apparel Patternmakers	3	T	960	
516093	Upholsterers	3	T	961	
516099	Textile, Apparel, and Furnishings Workers, All Other	3	T	962	
517000	Woodworkers	1	T	963	
517011	Cabinetmakers and Bench Carpenters	3	T	964	
517021	Furniture Finishers	3	T	965	
517030	Model Makers and Patternmakers, Wood	2	T	966	
517031	Model Makers, Wood	3	T	967	
517032	Patternmakers, Wood	3	T	968	
517040	Woodworking Machine Setters, Operators, and Tenders	2	T	969	
517041	Sawing Machine Setters, Operators, and Tenders, Wood	3	T	970	
517042	Woodworking Machine Setters, Operators, and Tenders, Except Sawing	3	T	971	
517099	Woodworkers, All Other	3	T	972	
518000	Plant and System Operators	1	T	973	
518010	Power Plant Operators, Distributors, and Dispatchers	2	T	974	
518011	Nuclear Power Reactor Operators	3	T	975	
518012	Power Distributors and Dispatchers	3	T	976	
518013	Power Plant Operators	3	T	977	
518021	Stationary Engineers and Boiler Operators	3	T	978	
518031	Water and Wastewater Treatment Plant and System Operators	3	T	979	
518090	Miscellaneous Plant and System Operators	2	T	980	
518091	Chemical Plant and System Operators	3	T	981	
518092	Gas Plant Operators	3	T	982	
518093	Petroleum Pump System Operators, Refinery Operators, and Gaugers	3	T	983	
518099	Plant and System Operators, All Other	3	T	984	
519000	Other Production Occupations	1	T	985	
519010	Chemical Processing Machine Setters, Operators, and Tenders	2	T	986	
519011	Chemical Equipment Operators and Tenders	3	T	987	
519012	Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Te	3	T	988	
519020	Crushing, Grinding, Polishing, Mixing, and Blending Workers	2	T	989	
519021	Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders	3	T	990	
519022	Grinding and Polishing Workers, Hand	3	T	991	
519023	Mixing and Blending Machine Setters, Operators, and Tenders	3	T	992	
519030	Cutting Workers	2	T	993	
519031	Cutters and Trimmers, Hand	3	T	994	
519032	Cutting and Slicing Machine Setters, Operators, and Tenders	3	T	995	
519041	Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders	3	T	996	
519051	Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders	3	T	997	
519061	Inspectors, Testers, Sorters, Samplers, and Weighers	3	T	998	
519071	Jewelers and Precious Stone and Metal Workers	3	T	999	
519080	Medical, Dental, and Ophthalmic Laboratory Technicians	2	T	1000	
519081	Dental Laboratory Technicians	3	T	1001	
519082	Medical Appliance Technicians	3	T	1002	
519083	Ophthalmic Laboratory Technicians	3	T	1003	
519111	Packaging and Filling Machine Operators and Tenders	3	T	1004	
519120	Painting Workers	2	T	1005	
519121	Coating, Painting, and Spraying Machine Setters, Operators, and Tenders	3	T	1006	
519122	Painters, Transportation Equipment	3	T	1007	
519123	Painting, Coating, and Decorating Workers	3	T	1008	
519141	Semiconductor Processors	3	T	1009	
519151	Photographic Process Workers and Processing Machine Operators	3	T	1010	
519190	Miscellaneous Production Workers	2	T	1011	
519191	Adhesive Bonding Machine Operators and Tenders	3	T	1012	
519192	Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders	3	T	1013	
519193	Cooling and Freezing Equipment Operators and Tenders	3	T	1014	
519194	Etchers and Engravers	3	T	1015	
519195	Molders, Shapers, and Casters, Except Metal and Plastic	3	T	1016	
519196	Paper Goods Machine Setters, Operators, and Tenders	3	T	1017	
519197	Tire Builders	3	T	1018	
519198	Helpers--Production Workers	3	T	1019	
519199	Production Workers, All Other	3	T	1020	
530000	Transportation and Material Moving Occupations	0	T	1021	
531000	Supervisors of Transportation and Material Moving Workers	1	T	1022	
531011	Aircraft Cargo Handling Supervisors	3	T	1023	
531021	First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand	3	T	1024	
531031	First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators	3	T	1025	
532000	Air Transportation Workers	1	T	1026	
532010	Aircraft Pilots and Flight Engineers	2	T	1027	
532011	Airline Pilots, Copilots, and Flight Engineers	3	T	1028	
532012	Commercial Pilots	3	T	1029	
532020	Air Traffic Controllers and Airfield Operations Specialists	2	T	1030	
532021	Air Traffic Controllers	3	T	1031	
532022	Airfield Operations Specialists	3	T	1032	
532031	Flight Attendants	3	T	1033	
533000	Motor Vehicle Operators	1	T	1034	
533011	Ambulance Drivers and Attendants, Except Emergency Medical Technicians	3	T	1035	
533020	Bus Drivers	2	T	1036	
533021	Bus Drivers, Transit and Intercity	3	T	1037	
533022	Bus Drivers, School or Special Client	3	T	1038	
533030	Driver/Sales Workers and Truck Drivers	2	T	1039	
533031	Driver/Sales Workers	3	T	1040	
533032	Heavy and Tractor-Trailer Truck Drivers	3	T	1041	
533033	Light Truck or Delivery Services Drivers	3	T	1042	
533041	Taxi Drivers and Chauffeurs	3	T	1043	
533099	Motor Vehicle Operators, All Other	3	T	1044	
534000	Rail Transportation Workers	1	T	1045	
534010	Locomotive Engineers and Operators	2	T	1046	
534011	Locomotive Engineers	3	T	1047	
534012	Locomotive Firers	3	T	1048	
534013	Rail Yard Engineers, Dinkey Operators, and Hostlers	3	T	1049	
534021	Railroad Brake, Signal, and Switch Operators	3	T	1050	
534031	Railroad Conductors and Yardmasters	3	T	1051	
534041	Subway and Streetcar Operators	3	T	1052	
534099	Rail Transportation Workers, All Other	3	T	1053	
535000	Water Transportation Workers	1	T	1054	
535011	Sailors and Marine Oilers	3	T	1055	
535020	Ship and Boat Captains and Operators	2	T	1056	
535021	Captains, Mates, and Pilots of Water Vessels	3	T	1057	
535022	Motorboat Operators	3	T	1058	
535031	Ship Engineers	3	T	1059	
536000	Other Transportation Workers	1	T	1060	
536011	Bridge and Lock Tenders	3	T	1061	
536021	Parking Lot Attendants	3	T	1062	
536031	Automotive and Watercraft Service Attendants	3	T	1063	
536041	Traffic Technicians	3	T	1064	
536051	Transportation Inspectors	3	T	1065	
536061	Transportation Attendants, Except Flight Attendants	3	T	1066	
536099	Transportation Workers, All Other	3	T	1067	
537000	Material Moving Workers	1	T	1068	
537011	Conveyor Operators and Tenders	3	T	1069	
537021	Crane and Tower Operators	3	T	1070	
537030	Dredge, Excavating, and Loading Machine Operators	2	T	1071	
537031	Dredge Operators	3	T	1072	
537032	Excavating and Loading Machine and Dragline Operators	3	T	1073	
537033	Loading Machine Operators, Underground Mining	3	T	1074	
537041	Hoist and Winch Operators	3	T	1075	
537051	Industrial Truck and Tractor Operators	3	T	1076	
537060	Laborers and Material Movers, Hand	2	T	1077	
537061	Cleaners of Vehicles and Equipment	3	T	1078	
537062	Laborers and Freight, Stock, and Material Movers, Hand	3	T	1079	
537063	Machine Feeders and Offbearers	3	T	1080	
537064	Packers and Packagers, Hand	3	T	1081	
537070	Pumping Station Operators	2	T	1082	
537071	Gas Compressor and Gas Pumping Station Operators	3	T	1083	
537072	Pump Operators, Except Wellhead Pumpers	3	T	1084	
537073	Wellhead Pumpers	3	T	1085	
537081	Refuse and Recyclable Material Collectors	3	T	1086	
537111	Mine Shuttle Car Operators	3	T	1087	
537121	Tank Car, Truck, and Ship Loaders	3	T	1088	
537199	Material Moving Workers, All Other	3	T	1089	
